Perintah:
TASKLIST

Hasil:Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         32 K
Registry                       124 Services                   0     95,168 K
smss.exe                       460 Services                   0        524 K
csrss.exe                      696 Services                   0      2,916 K
wininit.exe                    796 Services                   0      3,092 K
services.exe                   868 Services                   0      7,596 K
lsass.exe                      888 Services                   0     19,432 K
svchost.exe                   1012 Services                   0     31,588 K
fontdrvhost.exe                448 Services                   0      1,084 K
svchost.exe                    588 Services                   0     18,376 K
svchost.exe                    928 Services                   0      5,428 K
svchost.exe                   1260 Services                   0      8,868 K
svchost.exe                   1268 Services                   0      4,964 K
svchost.exe                   1276 Services                   0      5,520 K
svchost.exe                   1304 Services                   0      6,136 K
svchost.exe                   1440 Services                   0      5,172 K
svchost.exe                   1448 Services                   0      4,568 K
svchost.exe                   1484 Services                   0      2,792 K
svchost.exe                   1620 Services                   0     10,936 K
svchost.exe                   1784 Services                   0      3,332 K
svchost.exe                   1872 Services                   0      9,828 K
svchost.exe                   1920 Services                   0      7,400 K
svchost.exe                   1972 Services                   0      4,864 K
NVDisplay.Container.exe       2000 Services                   0      8,500 K
svchost.exe                   2008 Services                   0      4,912 K
svchost.exe                   1672 Services                   0      8,864 K
svchost.exe                   2104 Services                   0     10,444 K
svchost.exe                   2116 Services                   0      9,836 K
svchost.exe                   2256 Services                   0      4,620 K
svchost.exe                   2268 Services                   0      1,912 K
svchost.exe                   2276 Services                   0      7,316 K
svchost.exe                   2284 Services                   0      6,904 K
svchost.exe                   2348 Services                   0      4,196 K
svchost.exe                   2396 Services                   0      7,492 K
Memory Compression            2492 Services                   0    503,744 K
svchost.exe                   2532 Services                   0      4,688 K
svchost.exe                   2580 Services                   0     15,892 K
igfxCUIService.exe            2612 Services                   0      3,564 K
svchost.exe                   2700 Services                   0      4,024 K
svchost.exe                   2708 Services                   0      6,232 K
svchost.exe                   2916 Services                   0      6,888 K
svchost.exe                   1964 Services                   0      9,032 K
svchost.exe                   3080 Services                   0      3,244 K
svchost.exe                   3088 Services                   0      5,840 K
svchost.exe                   3224 Services                   0     12,472 K
svchost.exe                   3276 Services                   0      7,128 K
AsLdrSrv.exe                  3304 Services                   0      2,128 K
wlanext.exe                   3364 Services                   0      1,564 K
conhost.exe                   3372 Services                   0      1,192 K
spoolsv.exe                   3504 Services                   0      7,728 K
svchost.exe                   3552 Services                   0     10,336 K
svchost.exe                   3588 Services                   0      3,352 K
svchost.exe                   3864 Services                   0     15,460 K
AsHidSrv.exe                  3872 Services                   0      1,632 K
svchost.exe                   3884 Services                   0     42,892 K
svchost.exe                   3892 Services                   0      2,672 K
svchost.exe                   3900 Services                   0     12,308 K
svchost.exe                   3936 Services                   0     27,664 K
ibtsiva.exe                   3952 Services                   0      2,120 K
IntelCpHDCPSvc.exe            3960 Services                   0      2,052 K
ICEsoundService64.exe         3968 Services                   0      2,320 K
svchost.exe                   3992 Services                   0      3,472 K
svchost.exe                   4004 Services                   0      1,804 K
FNPLicensingService.exe       4016 Services                   0      2,436 K
svchost.exe                   4032 Services                   0      1,976 K
PsiService_2.exe              4052 Services                   0      1,140 K
AGSService.exe                4060 Services                   0      9,452 K
AGMService.exe                4092 Services                   0      3,336 K
OfficeClickToRun.exe          3388 Services                   0     21,320 K
svchost.exe                   3640 Services                   0     14,912 K
MsMpEng.exe                   4128 Services                   0    218,520 K
svchost.exe                   4276 Services                   0      4,572 K
mqsvc.exe                     4324 Services                   0      3,168 K
IntelCpHeciSvc.exe            4416 Services                   0      2,024 K
svchost.exe                   4484 Services                   0      6,568 K
svchost.exe                   4504 Services                   0      1,664 K
CodeMeter.exe                 4548 Services                   0      8,548 K
svchost.exe                   4576 Services                   0      5,312 K
pg_ctl.exe                    4688 Services                   0      1,228 K
unsecapp.exe                  5408 Services                   0      2,528 K
svchost.exe                   5968 Services                   0      3,316 K
postgres.exe                  3924 Services                   0      3,824 K
conhost.exe                   2244 Services                   0      2,160 K
postgres.exe                  1148 Services                   0      1,836 K
